institution,degree,address,city_state_zip,initial_accreditation,status,next_visit
Clark University,Clinical Ph.D.,"Department of Psychology, Ph.D. Program | 950 Main Street","Worcester, MA 01610-1477","February 01, 1948",Accredited,Next site visit scheduled 2029
Harvard University,Clinical Ph.D.,1230 William James Hall | 33 Kirkland Street | University of Massachusetts Amherst,"Cambridge, MA 02138","June 04, 2008",Accredited,
University of Massachusetts Amherst,Clinical Ph.D.,"135 Hicks Way, Tobin Hall","Amherst, MA 01003-9271","December 18, 1957",Accredited,Next site visit scheduled 2034
University of Maine,Clinical Ph.D.,5742 Williams Hall,"Orono, ME 04469-5742","March 01, 1975",Accredited,Next site visit scheduled 2030
Uniformed Services University of the Health Sciences,Clinical Ph.D.,Department of Medical and Clinical | Psychology | 4301 Jones Bridge Road,"Bethesda, MD 20814-4799","October 23, 1997",Accredited,Next site visit scheduled 2035
Loyola University Maryland,Clinical Psy.D.,4501 North Charles Street,"Baltimore, MD 21210-2699","May 11, 2000",Accredited,Next site visit scheduled 2028
"University of Massachusetts, Boston",Clinical Ph.D.,100 William T. Morrissey Boulevard,"Boston, MA 02125-3393","October 01, 1993",Accredited,Next site visit scheduled 2034
"University of Maryland, Baltimore County",Clinical Ph.D.,1000 Hilltop Circle,"Baltimore, MD 21250","February 09, 1990",Accredited,Next site visit scheduled 2027
Boston University,Clinical Ph.D.,648 Beacon Street,"Boston, MA 02215","October 01, 1948",Accredited,Next site visit scheduled 2028
William James College,Clinical Psy.D.,,,,,
Eastern Michigan University,Clinical Ph.D.,341 Mark Jefferson Science Complex | Eastern Michigan University,"Ypsilanti, MI 48197","December 06, 2005",Accredited,Next site visit scheduled 2027
Michigan School of Psychology,Clinical Psy.D.,,,,,
Michigan State University,Clinical Ph.D.,316 Physics Road,"East Lansing, MI 48824-1116","March 02, 1948",Accredited,Next site visit scheduled 2035
Central Michigan University,Clinical Ph.D.,101 Sloan Hall | Franklin Street,"Mount Pleasant, MI 48859","February 09, 1990",Accredited – Inactive,Next site visit scheduled 2029
University of Michigan,Clinical Ph.D.,"Department of Psychology, Ph.D. Program | 530 Church Street","Ann Arbor, MI 48109-1043","March 02, 1948",Accredited,Next site visit scheduled 2023
Suffolk University,Clinical Ph.D.,"73 Tremont Street, 8th Floor - Psychology","Boston, MA 02108","April 11, 2000",Accredited,Next site visit scheduled 2032
Wayne State University,Clinical Ph.D.,"Department of Psychology | 5057 Woodward, Suite 7908","Detroit, MI 48202","August 01, 1960",Accredited,Next site visit scheduled 2028
University of Detroit Mercy,Clinical Ph.D.,248 Reno Hall | 4001 W. McNichols Road,"Detroit, MI 48221-3038","June 03, 1988",Accredited,Next site visit scheduled 2028
Mississippi State University,Clinical Ph.D.,PO Box 6161,"Mississippi State, MS 39762","October 21, 2016",Accredited,Next site visit scheduled 2033
Western Michigan University,Clinical Ph.D.,1903 W. Michigan Avenue,"Kalamazoo, MI 49008-5439","April 16, 1991",Accredited,Next site visit scheduled 2027
University of Southern Mississippi,Clinical Ph.D.,"118 College Drive, #5025 | University of Southern Mississippi","Hattiesburg, MS 39406-5025","April 27, 1979",Accredited,
Augsburg University,Clinical Psy.D.,203 Sverdrup Hall | 707 21st Ave S,"Minneapolis, MN 55454","December 08, 2021","Accredited, on contingency",Next site visit scheduled 2025
Augsburg University/Argosy University Teach-Out,Clinical Psy.D.,"203 Sverdrup Hall | 707 21st Ave S | Withdrawn, effective October 19, 2024 | University of Minnesota","Minneapolis, MN 55454",,,
Jackson State University,Clinical Ph.D.,1325 J.R. Lynch Street | P. O. Box 17550,"Jackson, MS 39217-0350","October 19, 2001",Accredited,Next site visit scheduled 2033
"Withdrawn, effective October 19, 2024 University of Minnesota",Clinical Ph.D.,N218 Elliott Hall | 75 East River Road S.E.,"Minneapolis, MN 55455","February 13, 1948",Accredited,Next site visit scheduled 2027
Kansas City University,Clinical Psy.D.,,,,,
University of Mississippi,Clinical Ph.D.,"Peabody Building, Room 310D | PO Box 1848","University, MS 38677","November 06, 1973",Accredited,Next site visit scheduled 2031
"University of Missouri, Columbia",Clinical Ph.D.,210 McAlester Hall | University of Missouri,"Columbia, MO 65211","January 24, 1958",Accredited,Next site visit scheduled 2034
Saint Louis University,Clinical Ph.D.,Department of Psychology | 3700 Lindell Blvd.,"St. Louis, MO 63108","May 22, 1964",Accredited,Next site visit scheduled 2031
Washington University in St. Louis,Clinical Ph.D.,Campus Box 1125 | One Brookings Drive,"St. Louis, MO 63130","February 20, 1948",Accredited,Next site visit scheduled 2028
University of Nevada Las Vegas,Clinical Ph.D.,"4505 S. Maryland Parkway, Box 455030","Las Vegas, NV 89154-5030","October 07, 2005",Accredited,Next site visit scheduled 2034
The University of Montana,Clinical Ph.D.,"Department of Psychology | 32 Campus Drive, Mail Stop 1584","Missoula, MT 59812","March 13, 1970",Accredited,Next site visit scheduled 2027
University of Missouri Kansas City,Clinical Ph.D.,"5030 Cherry Street, Room 324","Kansas City, MO 64110","February 06, 2004",Accredited,Next site visit scheduled 2028
"University of Nevada, Reno",Clinical Ph.D.,"Clinical Psychology, Mail Stop 298 | 1664 North Virginia Street","Reno, NV 89557","March 01, 1972",Accredited,Next site visit scheduled 2028
Antioch University New England,Clinical Psy.D.,,,,,
"University of Nebraska, Lincoln",Clinical Ph.D.,238 Burnett Hall | P.O. Box 880308,"Lincoln, NE 68588-0308","December 14, 1948",Accredited,Next site visit scheduled 2029
"University of Missouri, St. Louis",Clinical Ph.D.,325 Stadler Hall/Psychology | One University Boulevard,"St. Louis, MO 63121","May 03, 1977",Accredited,Next site visit scheduled 2034
Rutgers- The State University of New Jersey,Clinical Psy.D.,Graduate School of Applied & Professional | Psychology | 152 Frelinghuysen Road,"Piscataway, NJ 08854-8085","April 01, 1977",Accredited,Next site visit scheduled 2023
Fairleigh Dickinson University,Clinical Ph.D.,1000 River Road | Fairleigh Dickinson University,"Teaneck, NJ 07666","October 21, 1986",Accredited,Next site visit scheduled 2033
Adelphi University,Clinical Ph.D.,Hy Weinberg Center | 158 Cambridge Avenue,"Garden City, NY 11530","April 01, 1957",Accredited,Next site visit scheduled 2029
Montclair State University,Clinical Ph.D.,1 Normal Avenue | Dickson Hall 219,"Montclair, NJ 07043","April 05, 2020",Accredited,Next site visit scheduled 2033
University at Albany,Clinical Ph.D.,,,,,
Rowan University,Clinical Ph.D.,201 Mullica Hill Road,"Glassboro, NJ 08028","April 07, 2019",Accredited,Next site visit scheduled 2033
William Paterson University,Clinical Psy.D.,300 Pompton Road | Science Hall 250,"Wayne, NJ 07470","April 15, 2018",Accredited,Next site visit scheduled 2031
Rutgers – The State University of New Jersey,Clinical Ph.D.,Graduate School of Arts and Sciences | 152 Frelinghuysen Road,"Piscataway, NJ 08854-8020","January 08, 1965",Accredited,Next site visit scheduled 2029
University of New Mexico,Clinical Ph.D.,MSC03 2220 | 1 University of New Mexico,"Albuquerque, NM 87131-0001","November 20, 1973",Accredited,Next site visit scheduled 2034
City University of New York,Clinical Ph.D.,695 Park Avenue | Room HN-611,"New York, NY 10016-4309","April 07, 2019",Accredited,Next site visit scheduled 2033
,Clinical Ph.D.,365 Fifth Avenue,"New York, NY 10016","November 07, 2014",Accredited,Next site visit scheduled 2034
Binghamton University State University of New York,Clinical Ph.D.,4400 Vestal Parkway East,"Binghamton, NY 13902","May 12, 1981",Accredited,Next site visit scheduled 2034
D’Youville University/Medaille University Teach-Out,Clinical Psy.D.,320 Porter Avenue,"Buffalo, NY 14201","September 01, 2023","Accredited, on contingency – Inactive",Next site visit scheduled 2027
Fordham University,Clinical Ph.D.,441 East Fordham Road | Dealy Hall 226,"Bronx, NY 10458","February 26, 1948",Accredited,Next site visit scheduled 2034
University at Buffalo State University of New York,Clinical Ph.D.,,,,,
"John Jay College of Criminal Justice & The Graduate Center, CUNY",Clinical Ph.D.,John Jay College | 524 W. 59th St.,"New York, NY 10019","March 27, 2015",Accredited,Next site visit scheduled 2035
Long Island University,Clinical Ph.D.,Long Island University | Department of Psychology | 1 University Plaza,"Brooklyn, NY 11201-8423","April 01, 1974",Accredited,Next site visit scheduled 2033
Long Island University C.W. Post Campus,Clinical Psy.D.,Life Sciences | 720 Northern Boulevard,"Brookville, NY 11548","May 10, 1994","Accredited, on probation",Next site visit scheduled 2023
"The City College of New York The Graduate Center, CUNY",Clinical Ph.D.,,,,,
Hofstra University,Clinical Ph.D.,Hauser Hall 221A,"Hempstead, NY 11549","October 16, 1973",Accredited,Next site visit scheduled 2029
The New School,Clinical Ph.D.,,,,,
Yeshiva University,Clinical Psy.D.,Clinical Psychology Program | 1165 Morris Park Avenue | Rousso Building,"Bronx, NY 10461","November 07, 1985",Accredited,Next site visit scheduled 2035
Stony Brook University State University of New York,Clinical Ph.D.,313 Psychology B | Syracuse University,"Stony Brook, NY 11794","November 1, 1970",Accredited – Inactive,
Pace University,Clinical Ph.D.,52 Broadway,"New York, NY 10004","January 22, 2025","Accredited, on contingency",Next site visit scheduled 2028
Syracuse University,Clinical Ph.D.,430 Huntington Hall,"Syracuse, NY 13244-2340","October 30, 1956",Accredited,Next site visit scheduled 2031
Appalachian State University,Clinical Psy.D.,Dept. of Psychology | 222 Joyce Lawrence Ln,"Boone, NC 28608","February 2, 2024","Accredited, on contingency",Next site visit scheduled 2027
"Teachers College, Columbia University",Clinical Ph.D.,"525 West 120th Street, Box 102","New York, NY 10027-6696","February 27, 1948",Accredited,Next site visit scheduled 2031
University of Rochester,Clinical Ph.D.,Box 270266,"Rochester, NY 14627-0266","March 02, 1948",Accredited,Next site visit scheduled 2028
Duke University,Clinical Ph.D.,"417 Chapel Drive, Box 90086","Durham, NC 27708","February 23, 1948",Accredited,Next site visit scheduled 2032
St. John’s University,Clinical Ph.D.,Department of Psychology | 8000 Utopia Parkway,"Queens, NY 11439","October 30, 1984",Accredited,Next site visit scheduled 2035
East Carolina University,Clinical Ph.D.,104 Rawl | East 5th Street | East Carolina University,"Greenville, NC 27858","April 20, 2012",Accredited,Next site visit scheduled 2031
Yeshiva University,Clinical Ph.D.,1165 Morris Park Avenue | Rousso Building,"Bronx, NY 10461","October 11, 2005",Accredited,Next site visit scheduled 2023
"University of North Carolina, Chapel Hill",Clinical Ph.D.,"Campus Box 3270, Davie Hall","Chapel Hill, NC 27599-3270","February 12, 1949",Accredited,Next site visit scheduled 2033
University of Cincinnati,Clinical Ph.D.,2800 Clifton Avenue | P.O. Box 210376 | 3200 Suite - Clifton Court Hall,"Cincinnati, OH 45221","February 01, 1948",Accredited,Next site visit scheduled 2023
University of North Dakota,Clinical Ph.D.,Box 8380,"Grand Forks, ND 58202-8380","November 01, 1969",Accredited,Next site visit scheduled 2027
University of North Carolina at Charlotte,Clinical Ph.D.,9201 University City Blvd.,"Charlotte, NC 28223-0001","October 02, 2012",Accredited,Next site visit scheduled 2027
